,0,1,2,3,4,5
408,,,,211 CHURCH STREET,SARATOGA SPRINGS,NY 12866
409,,,ONE WEST AVE,SUITE 230,SARATOGA SPRINGS,NY 12866
410,,,C/O PHARMACY,214 CORNELIA STREET,PLATTSBURGH,NY 12901
411,,,,28 MONTCALM AVE,PLATTSBURGH,NY 12901
412,,,75 PARK STREET,PO BOX 277,ELIZABETHTOWN,NY 12932
413,,,,1730 FRONT STREET,KEESEVILLE,NY 12944
414,,,,133 PARK STREET,MALONE,NY 12953
415,,,,4315 MAIN STREET,PORT HENRY,NY 12974
416,,,72 CHAMPLAIN STREET,ATTN: SUPERVISING PHARMACIST,ROUSES POINT,NY 12979
417,,,161 GENESEE ST,SUITE 105,AUBURN,NY 13021
418,,,,150 GRANT AVENUE,AUBURN,NY 13021
419,,,,CREGO & DOWNER ROADS,BALDWINSVILLE,NY 13027
420,,,,464 MAIN STREET,PHOENIX,NY 13135
421,,,,1 CHURCH STREET,PORT BYRON,NY 13140
422,,,918 JAMES STREET,SUITE B-1,SYRACUSE,NY 13203
423,,,,700 FIRST NORTH STREET,SYRACUSE,NY 13208
424,,,AT SYRACUSE,750 EAST ADAMS STREET,SYRACUSE,NY 13210
425,,,OUTPATIENT PHARMACY,1 ATWELL RD,COOPERTOWN,NY 13326
426,,,150 BROAD ST,PHARMACY DEPARTMENT,HAMILTON,NY 13346
427,,,,10 CENTRAL AVENUE,ILION,NY 13357
428,,,PHARMACY DEPARTMENT,7785 NORTH STATE STREET,LOWVILLE,NY 13367
429,,,,201 S. JAMES ST.,ROME,NY 13440
430,,,PO BOX 1260,ATTN: SUPERVISING PHARMACIST,VERNON,NY 13476
431,,,,704 BLEECKER ST,UTICA,NY 13501
432,,,,10504 KORENGAL VALLEY BLVD,FORT DRUM,NY 13602
433,,,ATTN: PHARMACY DEPT,1001 WEST STREET,CARTHAGE,NY 13619
434,,,,77 W BARNEY STREET,GOUVERNEUR,NY 13642
435,,,,8210 MAIN STREET,HARRISVILLE,NY 13648
436,,,C/O PHARMACY,214 KING ST,OGDENSBURG,NY 13669
437,,,6845 STATE ROUTE 434,PO BOX 376,APALACHIN,NY 13732
438,,,C/O PHARMACY,460 ANDES ROAD,DELHI,NY 13753
439,,,,ONE FOXCARE DRIVE,ONEONTA,NY 13820
440,,,10 LAFAYETTE PARK,P.O.BOX 630,OXFORD,NY 13830
441,,,225 MAIN STREET,P.O. BOX 308,UNADILLA,NY 13849
442,,,3101 SHIPPERS ROAD,SUITE 104,VESTAL,NY 13850
443,,,441 COMMERCE ROAD,SUITE 2,VESTAL,NY 13850
444,,,,1276 UPPER FRONT ST.,BINGHAMTON,NY 13901
445,,,1179 VESTAL AVE,SUITE 1,BINGHAMTON,NY 13903
446,,,,13203 BROADWAY,ALDEN,NY 14004
447,,,,658 W MAIN STREET,ARCADE,NY 14009
448,,,,2 MARKET ST.,ATTICA,NY 14011
449,,,,81 MAIN STREET,BATAVIA,NY 14020
450,,,,390 WEST MAIN ST,BATAVIA,NY 14020
451,,,,5175 BROADWAY,DEPEW,NY 14043
452,,,TRANSIT HILL PHARMACY,6344 TRANSIT RD,DEPEW,NY 14043
453,,,,3955 VINEYARD DR.,DUNKIRK,NY 14048
454,,,2317 BOWEN RD,PO BOX 90,ELMA,NY 14059
455,,,,S 4923 LAKESHORE ROAD,HAMBURG,NY 14075
456,,,,4481 LAKESHORE RD.,HAMBURG,NY 14075
457,,,19 MAIN ST,PO BOX 21,HOLLAND,NY 14080
458,,,,320 S TRANSIT ST,LOCKPORT,NY 14094
459,,,PHARMACY DEPARTMENT,200 OHIO ST,MEDINA,NY 14103
460,,,,526 MAIN ST,MEDINA,NY 14103
461,,,DBA/MIDDLEPORT FAMILY HEALTH C,81 ROCHESTER RD PO BOX 188,MIDDLEPORT,NY 14105
462,,,,521 DIVISION ST,NORTH TONAWANDA,NY 14120
463,,,,3201 SOUTHWESTERN BLVD.,ORCHARD PARK,NY 14127
464,,,PHARMACY DEPARTMENT,224 EAST MAIN ST,SPRINGVILLE,NY 14141
465,,,,890 YOUNG STREET,TONAWANDA,NY 14150
466,,,,2601 SHERIDAN DRIVE,TONAWANDA,NY 14150
467,,,DBA: TOPS MARKET #113,425 NIAGARA ST,BUFFALO,NY 14201
468,,,,650 DELAWARE AVENUE,BUFFALO,NY 14202
469,,,,2101 ELMWOOD AVE,BUFFALO,NY 14207
470,,,,1453 JEFFERSON AVE,BUFFALO,NY 14208
471,,,,1275 JEFFERSON AVE,BUFFALO,NY 14208
472,,,,1460 SOUTH PARK AVENUE,BUFFALO,NY 14220
473,,,120 PLAZA DRIVE,ATTN SUPERVISING PHARMACIST,WILLIAMSVILLE,NY 14221
474,,,,1031 CLEVELAND DRIVE,CHEEKTOWAGA,NY 14225
475,,,C/O PHARMACY,700 THRUWAY PLAZA DR.,CHEEKTOWAGA,NY 14225
476,,,,3500 MAIN STREET,AMHERST,NY 14226
477,,,2578 NIAGARA FALLS BLVD.,SUITE 100,WHEATFIELD,NY 14304
478,,,,7200 NIAGARA FALLS BLVD.,NIAGARA FALLS,NY 14304
479,,,,350 PARRISH ST,CANANDAIGUA,NY 14424
480,,,PHARMACY DEPT,2 COULTER ROAD,CLIFTON SPRINGS,NY 14432
481,,,,17 SODUS STREET,CLYDE,NY 14433
482,,,C/O PHARMACY,35 FRANKLIN PLAZA,DANSVILLE,NY 14437
483,,,,153-W COMMERICAL ST,EAST ROCHESTER,NY 14445
484,,,,15 HONEOYE COMMONS,HONEOYE,NY 14471
485,,,5975 BIG TREE RD,P.O. BOX 414,LAKEVILLE,NY 14480
486,,,,113 SOUTH MAIN ST,MANCHESTER,NY 14504
487,,,,75 NORTH MAIN ST,WARSAW,NY 14569
488,,,,12042 MAIN STREET,WOLCOTT,NY 14590
489,,,525 SPENCERPORT RD,GATES SHOPPING PLZ,ROCHESTER,NY 14606
490,,,259 MONROE AVE.,ATTN: SUPERVISING PHARMACIST,ROCHESTER,NY 14607
491,,,,3507 MT. READ BLVD,GREECE,NY 14616
492,,,,2100 MONROE AVENUE,ROCHESTER,NY 14618
493,,,1000 SOUTH AVENUE,1ST FLOOR,ROCHESTER,NY 14620
494,,,,777 SOUTH CLINTON AVENUE,ROCHESTER,NY 14620
495,,,,1425 PORTLAND AVE,ROCHESTER,NY 14621
496,,,,2100 RIDGE RD E,IRONDEQUOIT,NY 14622
497,,,2613 WEST HENRIETTA ROAD,C/O PHARMACY,ROCHESTER,NY 14623
498,,,1561 LONG POND RD,SUITE 104,ROCHESTER,NY 14626
499,,,601 ELMWOOD AVENUE BOX 638,OUTPATIENT PHARMACY,ROCHESTER,NY 14642
500,,,,19 S. MAIN ST.,JAMESTOWN,NY 14701
501,,,,2000 WASHINGTON ST,JAMESTOWN,NY 14701
502,,,,2 ELM STREET,FRANKLINVILLE,NY 14737
503,,,9 WEST MAIN STREET,PO BOX 128,FRIENDSHIP,NY 14739
504,,,4600 RT 60,PO BOX 350,GERRY,NY 14740
505,,,,2401 W. STATE STREET,OLEAN,NY 14760
506,,,,1322 WEST STATE ST,OLEAN,NY 14760
507,,,,36 N MAIN ST,ALFRED,NY 14802
508,,,,309 W MORRIS STREET,BATH,NY 14810
509,,,,36 SCHUYLER STREET,BELMONT,NY 14813
510,,,,7 MAIN STREET,CANISTEO,NY 14823
511,,,,1 GUTHRIE DRIVE,CORNING,NY 14830
512,,,,98 W PULTENEY ST,CORNING,NY 14830
513,,,,78 WEST MARKET STREET,CORNING,NY 14830
514,,C/O PHARMACY,101 DATES DRIVE,3RD FLOOR,ITHACA,NY 14850
515,,,,130 SO MAIN STREET,ELMIRA,NY 14904
516,,,,215 HOFFMAN STREET,ELMIRA,NY 14905
517,,,BEAVER CAMPUS/PHARMACY DEPT,1000 DUTCH RIDGE ROAD,BEAVER,PA 15009
518,,,,601 MCKEAN AVE,DONORA,PA 15033
519,,,,720 BLACKBURN ROAD,SEWICKLEY,PA 15143
520,,,,818 E. WARRINGTON AVENUE,PITTSBURGH,PA 15210
521,,,,4610 CENTRE AVE,PITTSBURGH,PA 15213
522,,,,815 FREEPORT RD,PITTSBURGH,PA 15215
523,,,,520 PENN AVE,WILKINSBURG,PA 15221
524,,,,4401 PENN AVENUE,PITTSBURGH,PA 15224
525,,,105 GAMMA DRIVE,SUITE 100,PITTSBURGH,PA 15238
526,,,,1740 WASHINGTON RD,PITTSBURGH,PA 15241
527,,,,401 EAST MURPHY AVE.,CONNELLSVILLE,PA 15425
528,,,,532 W PITTSBURGH ST,GREENSBURG,PA 15601
529,,,ATTENTION PHARMACY,ONE MELLON WAY,LATROBE,PA 15650
530,,,,505 NORTH FOURTH STREET,YOUNGWOOD,PA 15697
531,,,,1365 MAIN STREET,BROCKWAY,PA 15824
532,,,,6 RAILROAD STREET,SAINT MARYS,PA 15857
533,,,,280 NEW CASTLE RD.,BUTLER,PA 16001
534,,,,112 N LIBERTY ST,NEW CASTLE,PA 16102
535,,,STE 1,43 WILLIAMSON RD,GREENVILLE,PA 16125
536,,,,419 SOUTH MAIN ST,GREENVILLE,PA 16125
537,,,121 LIBERTY STREET,PO BOX 395,JAMESTOWN,PA 16134
538,,,,737 GREENVILLE ROAD,MERCER,PA 16137
539,,,315 SOUTH ERIE STREET,SUITE A,MERCER,PA 16137
540,,,63 PITT STREET,SUITE 102,SHARON,PA 16146
541,,,,1740 EAST STATE STREET,HERMITAGE,PA 16148
542,,,3676 N. HERMITAGE RD.,P.O. BOX 103,TRANSFER,PA 16154
543,,,,204 EAST SECOND STREET,OIL CITY,PA 16301
544,,,740 N MAIN ST EXT,STE 001,MEADVILLE,PA 16335
545,,,1305 SOUTH MAIN STREET,US ROUTE 322,MEADVILLE,PA 16335
546,,,,3800 PINE AVE,ERIE,PA 16504
547,,,,1216 WEST 6TH STREET,ERIE,PA 16507
548,,,,508 E. PLANK RD.,ALTOONA,PA 16602
549,,,,3499 BRUMBAUGH RD,NEW ENTERPRISE,PA 16664
550,,,,10 DAVIS ST,BRADFORD,PA 16701
551,,,,132 ABIGAIL LANE,PORT MATILDA,PA 16870
552,,,4752 SR 655 SUITE A,BIG VALLEY AREA MEDICAL CENTER,BELLEVILLE,PA 17004
553,,,890 POPLAR CHURCH ROAD,SUITE 103,CAMP HILL,PA 17011
554,,,CARLISLE BARRACKS,450 GIBNER RD/STE 1,CARLISLE,PA 17013
555,,,,99 MASONIC DRIVE,ELIZABETHTOWN,PA 17022
556,,,,252 S 4TH ST,LEBANON,PA 17042
557,,,,21 GEISINGER LANE,LEWISTOWN,PA 17044
558,,,,300 HIGHLAND AVENUE,LEWISTOWN,PA 17044
559,,,,105 S. SPORTING HILL RD.,MECHANICSBURG,PA 17050
560,,,6007 ALLENTOWN BLVD,PAXTON SQUARE,HARRISBURG,PA 17112
561,,,,4910B FAIRFIELD ROAD,FAIRFIELD,PA 17320
562,,,,2350 E MARKET ST,YORK,PA 17402
563,,,25 MONUMENT ROAD,SUITE 265,YORK,PA 17403
564,,,,1001 SOUTH GEORGE ST,YORK,PA 17405
565,,,183 N READING RD,SUITE 9,EPHRATA,PA 17522
566,,,100 E MAIN ST,P.O. BOX 283,LITITZ,PA 17543
567,,,,1507 LITITZ PIKE,LANCASTER,PA 17601
568,,,,1201 GRAMPIAN BLVD,WILLIAMSPORT,PA 17701
569,,,,740 HIGH ST SUITE 1001,WILLIAMSPORT,PA 17701
570,,,,1916 LYCOMING CREEK RD,WILLIAMSPORT,PA 17701
571,,,,305 RIVER AVENUE,WILLIAMSPORT,PA 17701
572,,,,49 NORTH RAILROAD STREET,HUGHESVILLE,PA 17737
573,,,,1440 ALLEGHENY ST,JERSEY SHORE,PA 17740
574,,,,801 LOYALSOCK AVENUE,MONTOURSVILLE,PA 17754
575,,,,2195 ROUTE 442 HWY,MUNCY,PA 17756
576,,,,1272 EAST PENN STREET,MUNCY,PA 17756
577,,,,549 E FAIR STREET,BLOOMSBURG,PA 17815
578,,,,1000 S MARKET STREET,BLOOMSBURG,PA 17815
579,,,,16 WOODBINE LANE,DANVILLE,PA 17821
580,,,PHARMACY,N ACADEMY AVENUE,DANVILLE,PA 17822
581,,,,100 N ACADEMY AVENUE,DANVILLE,PA 17822
582,,,,50 N 2ND STREET,LEWISBURG,PA 17837
583,,,9627 ROUTE 35,SUITE 20,MT PLEASANT MILLS,PA 17853
584,,,,4200 HOSPITAL ROAD,COAL TOWNSHIP,PA 17866
585,,,,719 ROUTE 522,SELINSGROVE,PA 17870
586,,,THE LEWIS FANELLI BUILDING,529 TERRY REILEY WAY,POTTSVILLE,PA 17901
587,,,,639 CHESTNUT STREET,ASHLAND,PA 17921
588,,,,300 HOLLYWOOD BLVD,ORWIGSBURG,PA 17961
589,,,,300 AMERICAN STREET,CATASAUQUA,PA 18032
590,,,,1601 W. LIBERTY STREET,ALLENTOWN,PA 18102
591,,,,315 WEST EMAUS AVENUE,ALLENTOWN,PA 18103
592,,,1727 W LIBERTY STREET,UNIT 2,ALLENTOWN,PA 18104
593,,,,1702 TILGHMAN,ALLENTOWN,PA 18104
594,,,206 E. BROWN ST.,1ST FLOOR,EAST STROUDSBURG,PA 18301
595,,,,126 MARKET WAY,MOUNT POCONO,PA 18344
596,,,,658 ROUTE 739 SUITE 5,HAWLEY,PA 18428
597,,,291 MAIN STREET,POB 600,NICHOLSON,PA 18446
598,,,,531 MT. PLEASANT DRIVE,SCRANTON,PA 18503
599,,,,1502 PITTSTON AVENUE,SCRANTON,PA 18505
600,,,,1101 MOOSIC ST.,SCRANTON,PA 18505
601,,,,1822 MULBERRY ST,SCRANTON,PA 18510
602,,,,617 THIRD ST.,DUNMORE,PA 18512
603,,,,114 LT. MICHAEL CLEARY DRIVE,DALLAS,PA 18612
604,,,,5 CHURCH STREET,DALLAS,PA 18612
605,,,,1 WEIS PLAZA,NANTICOKE,PA 18634
606,,,,70 PHOENIX STREET,DURYEA,PA 18642
607,,,,175 SOUTH WILKES-BARRE BLVD,WILKES BARRE,PA 18702
608,,,,250 OLD RIVER ROAD,WILKES BARRE,PA 18702
609,,,,79 EAST CAREY ST,PLAINS,PA 18705
610,,,,1000 E MOUNTAIN DRIVE,WILKES BARRE,PA 18711
611,,,5879 SR 92,SUITE 3 LENOX PLAZA,KINGSLEY,PA 18826
612,,,ONE GUTHRIE SQUARE,SUITE EC101,SAYRE,PA 18840
613,,,,91 HOSPITAL DRIVE,TOWANDA,PA 18848
614,,,,7 YORK ROAD,WARMINSTER,PA 18974
615,,,,10 YORK ROAD,WARMINSTER,PA 18974
616,,,,1245 HIGHLAND AVE,ABINGTON,PA 19001
617,,,,317 W. LANCASTER AVE.,ARDMORE,PA 19003
618,,,,3298 EDGEMONT AVE.,BROOKHAVEN,PA 19015
619,,,,3400 EDGMONT AVENUE,BROOKHAVEN,PA 19015
620,,,,4098 EDGEMONT AVE.,BROOKHAVEN,PA 19015
621,,,1503 LANSDOWNE AVENUE,SUITE 1000,DARBY,PA 19023
622,,,,802 LANSDOWNE AVENUE,DREXEL HILL,PA 19026
623,,,,504 S OXFORD VALLEY RD,FAIRLESS HILLS,PA 19030
624,,,,352 RIGHTERS MILL RD,GLADWYNE,PA 19035
625,,,,159 N. MACDADE BLVD.,GLENOLDEN,PA 19036
626,,,,150 N MACDADE BLVD.,GLENOLDEN,PA 19036
627,,,,810 WELSH ROAD,HORSHAM,PA 19044
628,,,,835 OLD YORK ROAD,JENKINTOWN,PA 19046
629,,,,8500 NEW FALLS ROAD,LEVITTOWN,PA 19054
630,,,3737 MARKET STREET,GROUND FLOOR,PHILA,PA 19104
631,,,,51 NORTH 39TH STREET,PHILADELPHIA,PA 19104
632,,,111 S 11TH STREET,SUITE 1850,PHILADELPHIA,PA 19107
633,,,,1 SOUTH BROAD STREET,PHILADELPHIA,PA 19107
634,,,,4133 G ST.,PHILADELPHIA,PA 19124
635,,,,4001 KENSINGTON AVE.,PHILADELPHIA,PA 19124
636,,,,2400 ARAMINGO AVENUE,PHILADELPHIA,PA 19125
637,,,,900 N BROAD ST,PHILADELPHIA,PA 19130
638,,,,4200 MONUMENT ROAD,PHILADELPHIA,PA 19131
639,,,1300 WEST LEHIGH AVENUE,SUITE 102,PHILADELPHIA,PA 19132
640,,,,169 W LEHIGH AVE,PHILADELPHIA,PA 19133
641,,,,7100 TORRESDALE AVE,PHILADELPHIA,PA 19135
642,,,,7001 FRANKFORD AVE,PHILADELPHIA,PA 19135
643,,,,1901 WEST OREGON AVENUE,PHILADELPHIA,PA 19145
644,,,,2014-24 S BROAD ST,PHILADELPHIA,PA 19145
645,,,,2310 W OREGON AVE,PHILADELPHIA,PA 19145
646,,,,1405 SOUTH 10TH STREET,PHILADELPHIA,PA 19147
647,,,,2301 SOUTH BROAD STREET,PHILADELPHIA,PA 19148
648,,,,6501 HARBISON AVENUE,PHILADELPHIA,PA 19149
649,,,,2803 W RIDGE PIKE,NORRISTOWN,PA 19403
650,,,,377 MAIN ST,HARLEYSVILLE,PA 19438
651,,,,420 S 5TH AVENUE,READING,PA 19611
652,,,,1120 PULASKI HIGHWAY,BEAR,DE 19701
653,,,,6317 LIMESTONE ROAD,HOCKESSIN,DE 19707
654,,,SUBURBAN PLAZA,216 SUBURBAN DRIVE,NEWARK,DE 19711
655,,,FAIRFAX SHOPPING CENTER,2119 CONCORD PIKE,WILMINGTON,DE 19803
656,,,CHESTNUT RUN,1710 FAULKLAND ROAD,WILMINGTON,DE 19805
657,,,436 MDG/SGSM,300 TUSKEGEE BLVD,DOVER AFB,DE 19902
658,,,,1001 FORREST AVE,DOVER,DE 19904
659,,,,17239 FIVE POINTS SQUARE,LEWES,DE 19958
660,,,,648 NW FRONT ST.,MILFORD,DE 19963
661,,,,22898 SUSSEX HWY,SEAFORD,DE 19973
662,,,,801 7TH ST NW,WASHINGTON,DC 20001
663,,,,1155 F STREET NW,WASHINGTON,DC 20004
664,,,,111 MICHIGAN AVE NW STE 1107,WASHINGTON,DC 20010
665,3700 NORTH CAPITOL ST,NW,SHERMAN BLDG,ROOM 103,WASHINGTON,DC 20011
666,,,,6514 GEORGIA AVENUE NW,WASHINGTON,DC 20012
667,,,,320 40TH STREET NE,WASHINGTON,DC 20019
668,,,,238 BROOKLEY AVENUE,WASHINGTON,DC 20032
669,,,,6-7 DUPONT CIRCLE NW,WASHINGTON,DC 20036
670,,,,1217 22ND ST. NW,WASHINGTON,DC 20037
671,,,,10701 ROSEMARY DRIVE,MANASSAS,VA 20109
672,,,,9200 CENTREVILLE RD.,MANASSAS,VA 20110
673,,,,5652 PICKWICK RD.,CENTREVILLE,VA 20120
674,,,,13926 LEE HWY.,CENTREVILLE,VA 20120
675,,,,609 E MAIN ST SUITE Q,PURCELLVILLE,VA 20132
676,,,,43480 YUKON DRIVE SUITE 100,ASHBURN,VA 20147
677,,,,44045 RIVERSIDE PARKWAY,LEESBURG,VA 20176
678,,,,510 BLACKWELL RD.,WARRENTON,VA 20186
679,,,,276 W LEE HWY,WARRENTON,VA 20186
680,,,,1890 METRO CENTER DRIVE,RESTON,VA 20190
681,,,DILORENZO TRICARE HLTH CLINIC,PENTAGON 5801 DEFENSE PENTAGON,WASHINGTON,DC 20310
682,,,,915 N STREET S. E.,WASHINGTON,DC 20374
683,,,,2110 CRAIN HWY,WALDORF,MD 20601
684,,,,12114 OLD LINE CENTER UNIT R-7A,WALDORF,MD 20602
685,,,,30 HIGH ST,WALDORF,MD 20602
686,,,,3973 ST. CHARLES PKWY,WALDORF,MD 20602
687,,,,24288 THREE NOTCH RD.,HOLLYWOOD,MD 20636
688,,,,4115 INDIAN HEAD HWY.,INDIAN HEAD,MD 20640
689,,,,6501 CRAIN HIGHWAY,LA PLATA,MD 20646
690,,,,6260 CRAIN HWY.,LA PLATA,MD 20646
691,,,,15100 BALTIMORE AVE.,LAUREL,MD 20707
692,,,,600 WASHINGTON BLVD. S,LAUREL,MD 20707
693,,,,8859 BRANCH AVENUE,CLINTON,MD 20735
694,,,9001 WOODY TERRACE,SUITE B,CLINTON,MD 20735
695,,,5870 SILVER HILL RD,SILVER HILL PLAZA,DISTRICT HEIGHTS,MD 20747
696,,,DEPARTMENT OF PHARMACY,KIMBROUGH AMBULATORY CARE CENTER,FORT MEADE,MD 20755
697,,,,1060 W. PERIMETER ROAD,ANDREWS AIR FORCE BASE,MD 20762
698,,,,1683 BROOKLEY AVENUE,ANDREWS AIR FORCE BASE,MD 20762
699,,,,7607 GREENBELT ROAD,GREENBELT,MD 20770
700,,,5454 WISCONSIN AVE,#400,CHEVY CHASE,MD 20815
701,,,,3110 OLNEY SANDY SPRING RD.,OLNEY,MD 20832
702,,,,9920 KEY WEST AVE,ROCKVILLE,MD 20850
703,,,,7955 TUCKERMAN LANE,ROCKVILLE,MD 20854
704,,,,19100 MONTGOMERY VILLAGE AVE.,GAITHERSBURG,MD 20886
705,,,PHARMACY DEPT BLDG 9,8901 WISCONSIN AVE,BETHESDA,MD 20889
706,,,,3715 UNIVERSITY BOULEVARD WEST,KENSINGTON,MD 20895
707,,,,3305 N. LEISUREWORLD BOULEVARD,SILVER SPRING,MD 20906
708,,,,1329 UNIVERSITY BLVD. E,TAKOMA PARK,MD 20912
709,,,PHARMACY,ABERDEEN PROVING GROUND,ABERDEEN PROVING GROUND,MD 21005
710,,,,3005 EMMORTON ROAD,ABINGDON,MD 21009
711,,,,3300A CENTENNIAL LANE,ELLICOTT CITY,MD 21042
712,,,,10097 BALTIMORE NATIONAL PIKE,ELLICOTT CITY,MD 21042
713,,,,1911 BEL AIR RD,FALLSTON,MD 21047
714,,,,6700 RITCHIE HWY,GLEN BURNIE,MD 21061
715,,,,6480 OLD WATERLOO RD,ELKRIDGE,MD 21075
716,,,,2003 DAVIDSONVILLE RD.,CROFTON,MD 21114
717,,,,28 MAGOTHY BEACH RD.,PASADENA,MD 21122
718,,,8541 FORTSMALL WOOD ROAD,UNIT G,PASADENA,MD 21122
719,,,OUT-PATIENT PHARMCY,WEINBERG BUILDING,BALTIMORE,MD 21201
720,,,,1001 YORK ROAD,TOWSON,MD 21204
721,,,AT MONUMENT STREET,1810 E. MONUMENT STREET,BALTIMORE,MD 21205
722,,,,2805 NORTH POINT RD,BALTIMORE,MD 21222
723,,,,7845 WISE AVE.,BALTIMORE,MD 21222
724,,4940 EASTERN AVENUE,BMO BUILDING,ROOM 01-0154,BALTIMORE,MD 21224
725,,,,4020 EASTERN AVENUE,BALTIMORE,MD 21224
726,,,,5657 BALTIMORE NATIONAL PIKE,CATONSVILLE,MD 21228
727,,,401 NORTH BROADWAY,SUITE 1001,BALTIMORE,MD 21231
728,,,,9616 HARFORD ROAD,BALTIMORE,MD 21234
729,,ZAYED-BLOOMBERG BUILDING,M2125,1800 ORLEANS STREET,BALTIMORE,MD 21287
730,,,601 NORTH CAROLINE STREET,SUITE 1006,BALTIMORE,MD 21287
731,,1717 E MONUMENT ST,PARK BUILDING,ROOM G-105,BALTIMORE,MD 21287
732,,,,2601 RIVA RD.,ANNAPOLIS,MD 21401
733,,,,101 BUCHANAN ROAD,ANNAPOLIS,MD 21402
734,,,695 KINKAID ROAD,PHARMACY DEPT.,ANNAPOLIS,MD 21402
735,,,,8174 OCEAN GATEWAY,EASTON,MD 21601
736,,,,404B WASHINGTON ST,CAMBRIDGE,MD 21613
737,,,204 S TALBOT ST,PO BOX 1139,ST MICHAELS,MD 21663
738,,,,402 SO. JEFFERSON STREET,FREDERICK,MD 21701
739,,,1434 PORTER STREET,FORT DETRICK,FREDERICK,MD 21702
740,,,,1260 LIBERTY RD,ELDERSBURG,MD 21784
741,,,,1147 PEMBERTON DR,SALISBURY,MD 21801
742,,,T/A APPLE DISCOUNT DRUGS,404A N. FRUITLAND BLVD.,SALISBURY,MD 21801
743,,,,1207 MT HERMON RD,SALISBURY,MD 21804
744,,,,9733 HEALTHWAY DRIVE,BERLIN,MD 21811
745,,,390 WEST MAIN STREET,UNIT-A,CRISFIELD,MD 21817
746,,,,26427 BURTON AVENUE,CRISFIELD,MD 21817
747,,,,7205 LITTLE RIVER TURNPIKE,ANNANDALE,VA 22003
748,,,,4300 BACKLICK RD,ANNANDALE,VA 22003
749,,,BURKE PHARMACY,5999 BURKE COMMONS ROAD,BURKE,VA 22015
750,,,,3700 FETTLER PARK DRIVE,DUMFRIES,VA 22025
751,,,,10580 ARROWHEAD DRIVE,FAIRFAX,VA 22030
752,,,,3600 JOSEPH SIEWICK DRIVE,FAIRFAX,VA 22033
753,,,,13031 LEE-JACKSON HIGHWAY,FAIRFAX,VA 22033
754,,,8124 ARLINGTON BLVD,YORKTOWN CTR,FALLS CHURCH,VA 22042
755,,,9300 DEWITT LOOP,ROOM C1382 MAIN VAULT,FORT BELVOIR,VA 22060
756,,,,8651 JOHN J KINGMAN ROAD,FORT BELVOIR,VA 22060
757,,,,6823 OLD DOMINION DRIVE,MCLEAN,VA 22101
758,,,,8008 WESTPARK DRIVE,MCLEAN,VA 22102
759,,,,3259 CATLIN AVENUE,QUANTICO,VA 22134
760,,,,6501 LOISDALE COURT,SPRINGFIELD,VA 22150
761,,,8414 OLD KEENE MILL RD.,UNIT A,SPRINGFIELD,VA 22152
762,,,,13600 JEFFERSON DAVIS HIGHWAY,WOODBRIDGE,VA 22191
763,,,,3133 LEE HIGHWAY,ARLINGTON,VA 22201
764,,,,2204 MT. VERNON AVE,ALEXANDRIA,VA 22301
765,,,,3117 LOCKHEED BLVD,ALEXANDRIA,VA 22306
766,,,,6717 RICHMOND HWY.,ALEXANDRIA,VA 22306
767,,,,1201 HOSPITAL DRIVE,FREDERICKSBURG,VA 22401
768,,,,591 JEFFERSON DAVIS HIGHWAY,FREDERICKSBURG,VA 22401
769,,,,50 WHITE OAK RD,FREDERICKSBURG,VA 22405
770,,,,10600 ROLLINGWOOD DRIVE,FREDERICKSBURG,VA 22407
771,,,308 NORTH MAIN STREET,PO BOX 1299,KILMARNOCK,VA 22482
772,,,,18048 JEFFERSON DAVIS HIGHWAY,RUTHER GLEN,VA 22546
773,,,,388 GARRISONVILLE ROAD,STAFFORD,VA 22554
774,,,,303 WEST 10TH STREET,FRONT ROYAL,VA 22630
775,,,,20 SOUTH STREET,FRONT ROYAL,VA 22630
776,,,33820 OLD VALLEY PIKE,SUITE 7,STRASBURG,VA 22657
777,,,,207 EAST MAIN STREET,REMINGTON,VA 22734
778,,,,208 E. MADISON ST.,REMINGTON,VA 22734
779,,,2010 HEALTH CAMPUS DRIVE,OUTPATIENT PHARMACY,HARRISONBURG,VA 22801
780,,,,322 E MAIN ST,CHARLOTTESVILLE,VA 22902
781,,,,943 PRESTON AVE,CHARLOTTESVILLE,VA 22903
782,,,,1240 LEE STREET ROOM 1407,CHARLOTTESVILLE,VA 22903
783,,,PHARMACY SERVICES,500 MARTHA JEFFERSON DRIVE,CHARLOTTESVILLE,VA 22911
784,,,5771-ON THE SQUARE,PO BOX 8,CROZET,VA 22932
785,,,,10901 WEST BROAD STREET,GLEN ALLEN,VA 23060
786,,,,7048 MECHANICSVILLE TPKE,MECHANICSVILLE,VA 23111
787,,,,7039 MECHANICSVILLE TURNPIKE,MECHANICSVILLE,VA 23111
788,,,,13800 HULL STREET RD.,MIDLOTHIAN,VA 23112
789,,,,11119 HULL STREET,MIDLOTHIAN,VA 23112
790,,,,6851 TEMIE LEE PKWY,MIDLOTHIAN,VA 23112
791,,,,2511 ANDERSON HIGHWAY,POWHATAN,VA 23139
792,,,,1309 RICHMOND RD,WILLIAMSBURG,VA 23185
793,,,THE PROFESSIONAL PHCY OF WMSBG,1302 MT VERNON DRIVE,WILLIAMSBURG,VA 23185
794,,,,240 MCLAWS CIRCLE,WILLIAMSBURG,VA 23185
795,,,,100 SENTARA CIRCLE,WILLIAMSBURG,VA 23188
